2017-06-21 04:40:42.406826: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406882: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406891: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406897: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.406903: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-06-21 04:40:42.876163: I tensorflow/core/common_runtime/gpu/gpu_device.cc:887] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB
major: 6 minor: 0 memoryClockRate (GHz) 1.3285
pciBusID 0000:82:00.0
Total memory: 15.89GiB
Free memory: 15.61GiB
2017-06-21 04:40:42.876238: I tensorflow/core/common_runtime/gpu/gpu_device.cc:908] DMA: 0 
2017-06-21 04:40:42.876255: I tensorflow/core/common_runtime/gpu/gpu_device.cc:918] 0:   Y 
2017-06-21 04:40:42.876306: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0)
Number of Patches: 307374
Global Iter: 100 training loss: 1.99067
Global Iter: 100 training acc: 0.15625
Global Iter: 200 training loss: 1.97028
Global Iter: 200 training acc: 0.125
Global Iter: 300 training loss: 2.05674
Global Iter: 300 training acc: 0.21875
Global Iter: 400 training loss: 2.04707
Global Iter: 400 training acc: 0.0625
Global Iter: 500 training loss: 2.11171
Global Iter: 500 training acc: 0.125
Global Iter: 600 training loss: 2.1148
Global Iter: 600 training acc: 0.125
Global Iter: 700 training loss: 2.00808
Global Iter: 700 training acc: 0.25
Global Iter: 800 training loss: 1.98119
Global Iter: 800 training acc: 0.1875
Global Iter: 900 training loss: 1.9091
Global Iter: 900 training acc: 0.125
Global Iter: 1000 training loss: 2.17836
Global Iter: 1000 training acc: 0.1875
Global Iter: 1100 training loss: 1.94894
Global Iter: 1100 training acc: 0.15625
Global Iter: 1200 training loss: 1.98083
Global Iter: 1200 training acc: 0.09375
Global Iter: 1300 training loss: 1.94924
Global Iter: 1300 training acc: 0.21875
Global Iter: 1400 training loss: 2.02782
Global Iter: 1400 training acc: 0.15625
Global Iter: 1500 training loss: 2.04245
Global Iter: 1500 training acc: 0.09375
Global Iter: 1600 training loss: 2.10957
Global Iter: 1600 training acc: 0.125
Global Iter: 1700 training loss: 2.02575
Global Iter: 1700 training acc: 0.21875
Global Iter: 1800 training loss: 1.94489
Global Iter: 1800 training acc: 0.28125
Global Iter: 1900 training loss: 1.97833
Global Iter: 1900 training acc: 0.21875
Global Iter: 2000 training loss: 2.09679
Global Iter: 2000 training acc: 0.125
Global Iter: 2100 training loss: 1.99586
Global Iter: 2100 training acc: 0.21875
Global Iter: 2200 training loss: 1.98987
Global Iter: 2200 training acc: 0.15625
Global Iter: 2300 training loss: 1.97432
Global Iter: 2300 training acc: 0.1875
Global Iter: 2400 training loss: 1.93347
Global Iter: 2400 training acc: 0.375
Global Iter: 2500 training loss: 1.99012
Global Iter: 2500 training acc: 0.125
Global Iter: 2600 training loss: 1.98619
Global Iter: 2600 training acc: 0.15625
